Date,Close,High,Low,Open,Volume
2025-04-17,2.0999999046325684,2.119999885559082,2.0199999809265137,2.0799999237060547,1376000
2025-04-21,2.109999895095825,2.130000114440918,2.0299999713897705,2.0999999046325684,1548500
2025-04-22,2.1500000953674316,2.1700000762939453,2.069999933242798,2.140000104904175,1873300
2025-04-23,2.2699999809265137,2.309999942779541,2.194999933242798,2.2100000381469727,2604800
2025-04-24,2.3399999141693115,2.359999895095825,2.2300000190734863,2.25,2589400
2025-04-25,2.440000057220459,2.4649999141693115,2.3399999141693115,2.369999885559082,3257900
2025-04-28,2.380000114440918,2.515000104904175,2.3499999046325684,2.5,2131100
2025-04-29,2.450000047683716,2.5299999713897705,2.359999895095825,2.390000104904175,3290500
2025-04-30,2.369999885559082,2.384999990463257,2.2899999618530273,2.369999885559082,2502400
2025-05-01,2.430000066757202,2.4800000190734863,2.3499999046325684,2.4000000953674316,1512300
2025-05-02,2.5,2.549999952316284,2.450000047683716,2.4800000190734863,1532300
2025-05-05,2.4800000190734863,2.559999942779541,2.4549999237060547,2.5,2707600
2025-05-06,2.5199999809265137,2.5350000858306885,2.4149999618530273,2.4700000286102295,1983300
2025-05-07,2.4000000953674316,2.555000066757202,2.3499999046325684,2.5299999713897705,3048700
2025-05-08,2.869999885559082,2.990000009536743,2.130000114440918,2.2100000381469727,8837600
2025-05-09,3.299999952316284,3.299999952316284,2.9820001125335693,3.049999952316284,7026700
2025-05-12,3.549999952316284,3.5910000801086426,3.180000066757202,3.5199999809265137,7303600
2025-05-13,3.450000047683716,3.619999885559082,3.4100000858306885,3.5299999713897705,3590200
2025-05-14,3.2699999809265137,3.5199999809265137,3.2100000381469727,3.509999990463257,3431100
2025-05-15,3.059999942779541,3.240000009536743,3.009999990463257,3.200000047683716,2663700
2025-05-16,3.2100000381469727,3.2300000190734863,3.065000057220459,3.0999999046325684,2134600
2025-05-19,3.140000104904175,3.1600000858306885,3.0399999618530273,3.0999999046325684,1842000
2025-05-20,3.049999952316284,3.130000114440918,3.0199999809265137,3.109999895095825,1287700
2025-05-21,2.9100000858306885,3.075000047683716,2.890000104904175,3.0,2372900
2025-05-22,3.2699999809265137,3.2899999618530273,2.884999990463257,2.9000000953674316,3644900
2025-05-23,3.240000009536743,3.3399999141693115,3.0899999141693115,3.1500000953674316,3638000
2025-05-27,3.430000066757202,3.4700000286102295,3.1610000133514404,3.2799999713897705,3269600
2025-05-28,3.299999952316284,3.444999933242798,3.2249999046325684,3.4000000953674316,3189500
2025-05-29,3.180000066757202,3.390000104904175,3.180000066757202,3.3399999141693115,2098000
2025-05-30,3.3399999141693115,3.359999895095825,3.0999999046325684,3.119999885559082,3281700
2025-06-02,3.2799999713897705,3.380000114440918,3.180000066757202,3.359999895095825,2783600
2025-06-03,3.240000009536743,3.3499999046325684,3.200000047683716,3.319999933242798,1876700
2025-06-04,3.299999952316284,3.4000000953674316,3.180000066757202,3.25,2229700
2025-06-05,3.25,3.4700000286102295,3.2300000190734863,3.3399999141693115,2384600
2025-06-06,3.369999885559082,3.5,3.257999897003174,3.2799999713897705,3784000
2025-06-09,3.430000066757202,3.5,3.2799999713897705,3.4100000858306885,2907900
2025-06-10,3.5799999237060547,3.618000030517578,3.390000104904175,3.450000047683716,3002000
2025-06-11,3.319999933242798,3.6700000762939453,3.2799999713897705,3.6600000858306885,2971000
2025-06-12,3.1700000762939453,3.3399999141693115,3.1500000953674316,3.3299999237060547,2603700
2025-06-13,3.049999952316284,3.140000104904175,3.0199999809265137,3.069999933242798,2095500
2025-06-16,3.2100000381469727,3.2799999713897705,3.0799999237060547,3.1500000953674316,2180400
2025-06-17,3.109999895095825,3.2100000381469727,3.0850000381469727,3.1600000858306885,2256700
2025-06-18,3.1500000953674316,3.2699999809265137,3.119999885559082,3.1600000858306885,3058600
2025-06-20,3.2200000286102295,3.259999990463257,3.0999999046325684,3.190000057220459,3417700
2025-06-23,3.2300000190734863,3.299999952316284,3.1050000190734863,3.1500000953674316,2157200
2025-06-24,3.450000047683716,3.490000009536743,3.2799999713897705,3.2799999713897705,2519500
2025-06-25,3.25,3.510999917984009,3.244999885559082,3.490000009536743,2542000
2025-06-26,3.369999885559082,3.380000114440918,3.1600000858306885,3.25,3350500
2025-06-27,3.6600000858306885,3.6700000762939453,3.2799999713897705,3.359999895095825,4658500
2025-06-30,4.019999980926514,4.169000148773193,3.630000114440918,3.740000009536743,6636400
2025-07-01,4.670000076293945,4.710000038146973,3.9149999618530273,3.950000047683716,15331900
2025-07-02,4.409999847412109,4.699999809265137,4.179999828338623,4.590000152587891,6806800
2025-07-03,4.429999828338623,4.704999923706055,4.380000114440918,4.409999847412109,2515300
2025-07-07,4.260000228881836,4.369999885559082,4.119999885559082,4.369999885559082,3294500
2025-07-08,4.230000019073486,4.349999904632568,4.090000152587891,4.320000171661377,3575900
2025-07-09,4.420000076293945,4.614999771118164,4.170000076293945,4.260000228881836,5020600
2025-07-10,4.449999809265137,4.489999771118164,4.230000019073486,4.440000057220459,2744300
2025-07-11,4.329999923706055,4.579999923706055,4.260000228881836,4.369999885559082,2118900
2025-07-14,4.260000228881836,4.349999904632568,4.190999984741211,4.300000190734863,1507700
2025-07-15,4.480000019073486,4.559000015258789,4.21999979019165,4.300000190734863,3651200
2025-07-16,4.519999980926514,4.525000095367432,4.230000019073486,4.5,3000100
2025-07-17,4.590000152587891,4.900000095367432,4.5,4.539999961853027,4100700
2025-07-18,4.670000076293945,4.71999979019165,4.519999980926514,4.599999904632568,2635800
2025-07-21,4.670000076293945,5.090000152587891,4.670000076293945,4.789999961853027,4896400
2025-07-22,4.769999980926514,4.800000190734863,4.53000020980835,4.619999885559082,3360700
